movieId,title,genres
527,Bananas (1971),Comedy|War
562,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
905,Plan 9 from Outer Space (1959),Horror|Sci-Fi
481,Big Night (1996),Comedy|Drama
1362,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller
839,Good Will Hunting (1997),Drama|Romance
1792,Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Sci-Fi
1111,Godzilla (Gojira) (1954),Drama|Horror|Sci-Fi
1262,Ghostbusters II (1989),Comedy|Fantasy|Sci-Fi
314,Son in Law (1993),Comedy|Drama|Romance
798,Air Force One (1997),Action|Thriller
1021,Doctor Dolittle (1967),Adventure|Children|Musical
2141,"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Crime|Drama
1009,"Dead Zone, The (1983)",Thriller
1823,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller
784,My Best Friend's Wedding (1997),Comedy|Romance
1579,On Her Majesty's Secret Service (1969),Action|Adventure|Romance|Thriller
872,Lost in Space (1998),Action|Adventure|Sci-Fi
467,Giant (1956),Drama|Romance|Western
1577,Shanghai Noon (2000),Action|Adventure|Comedy|Western
1460,Scent of a Woman (1992),Drama
2092,Starsky & Hutch (2004),Action|Comedy|Crime|Thriller
892,Can't Hardly Wait (1998),Comedy|Drama|Romance
2451,Limitless (2011),Sci-Fi|Thriller
2199,Kung Fu Hustle (Gong fu) (2004),Action|Comedy
2026,"Pink Panther, The (1963)",Comedy|Crime
1215,Cookie's Fortune (1999),Comedy|Drama
2439,"Town, The (2010)",Crime|Drama|Thriller
2181,Old Boy (2003),Mystery|Thriller
1643,Kelly's Heroes (1970),Action|Comedy|War
1699,Finding Forrester (2000),Drama
1714,Antitrust (2001),Crime|Drama|Thriller
121,Species (1995),Horror|Sci-Fi
1098,Elizabeth (1998),Drama
1978,Daredevil (2003),Action|Crime
1014,"Addams Family, The (1991)",Children|Comedy|Fantasy
1211,10 Things I Hate About You (1999),Comedy|Romance
1521,"Good Morning, Vietnam (1987)",Comedy|Drama|War
748,Fierce Creatures (1997),Comedy
1921,Signs (2002),Horror|Sci-Fi|Thriller
958,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
1490,Wonder Boys (2000),Comedy|Drama
14,Casino (1995),Crime|Drama
474,Bringing Up Baby (1938),Comedy|Romance
963,Lolita (1997),Drama|Romance
731,My Fellow Americans (1996),Comedy
1144,Cocoon (1985),Comedy|Sci-Fi
542,Glengarry Glen Ross (1992),Drama
1308,Medicine Man (1992),Adventure|Romance
406,"Time to Kill, A (1996)",Drama|Thriller
1687,"Planes, Trains & Automobiles (1987)",Comedy
1010,Needful Things (1993),Drama|Horror
156,Kiss of Death (1995),Crime|Drama|Thriller
761,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children|Comedy
991,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama
1112,King Kong (1933),Action|Adventure|Fantasy|Horror
726,Grease 2 (1982),Comedy|Musical|Romance
1152,Back to School (1986),Comedy
2252,Inside Man (2006),Crime|Drama|Thriller
180,"Quick and the Dead, The (1995)",Action|Thriller|Western
1246,"General's Daughter, The (1999)",Crime|Drama|Mystery|Thriller
1519,Red Dawn (1984),Action|Drama|War
1576,Mission: Impossible II (2000),Action|Adventure|Thriller
1372,"Bachelor, The (1999)",Comedy|Romance
2068,"Night at the Opera, A (1935)",Comedy|Musical|Romance
741,Scream (1996),Comedy|Horror|Mystery|Thriller
2400,Coraline (2009),Animation|Fantasy|Thriller
2217,Grizzly Man (2005),Documentary
1618,"Me, Myself & Irene (2000)",Adventure|Comedy
1686,Vertical Limit (2000),Action|Adventure
1906,"Sum of All Fears, The (2002)",Drama|Thriller
343,Fargo (1996),Comedy|Crime|Drama|Thriller
434,Vertigo (1958),Drama|Mystery|Romance|Thriller
1491,Ghost Dog: The Way of the Samurai (1999),Crime|Drama
185,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
1818,"It's a Mad, Mad, Mad, Mad World (1963)",Comedy
2468,"Hunger Games, The (2012)",Action|Adventure|Drama|Sci-Fi|Thriller
1290,Detroit Rock City (1999),Comedy
302,Schindler's List (1993),Drama|War
1300,Tequila Sunrise (1988),Action|Drama|Romance|Thriller
1513,Do the Right Thing (1989),Drama
137,Death and the Maiden (1994),Drama|Thriller
1309,"13th Warrior, The (1999)",Action|Adventure|Fantasy
1129,Psycho (1998),Crime|Horror|Thriller
1831,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),Horror|Thriller
1588,Eraserhead (1977),Drama|Horror
1660,Fantastic Voyage (1966),Adventure|Sci-Fi
1482,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
385,"Arrival, The (1996)",Action|Sci-Fi|Thriller
1327,Mumford (1999),Comedy|Drama
1068,Ronin (1998),Action|Crime|Thriller
570,Delicatessen (1991),Comedy|Drama|Romance
744,Hamlet (1996),Crime|Drama|Romance
2137,Before Sunset (2004),Drama|Romance
2108,Troy (2004),Action|Adventure|Drama|War
1707,Traffic (2000),Crime|Drama|Thriller
107,Judge Dredd (1995),Action|Crime|Sci-Fi
310,Six Degrees of Separation (1993),Drama
276,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
2038,Monty Python's The Meaning of Life (1983),Comedy
2112,Pride and Prejudice (1995),Drama|Romance
987,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children
2131,Dodgeball: A True Underdog Story (2004),Comedy
191,Swimming with Sharks (1995),Comedy|Drama
1790,They Live (1988),Action|Sci-Fi|Thriller
1927,Barbershop (2002),Comedy
536,Reservoir Dogs (1992),Crime|Mystery|Thriller
327,"Celluloid Closet, The (1995)",Documentary
2107,Van Helsing (2004),Action|Adventure|Fantasy|Horror
676,Being There (1979),Comedy|Drama
1476,Stop! Or My Mom Will Shoot (1992),Action|Comedy
1528,"Hustler, The (1961)",Drama
1029,Legend (1985),Adventure|Fantasy|Romance
394,"Fan, The (1996)",Drama|Thriller
898,Smoke Signals (1998),Comedy|Drama
953,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
524,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
2281,"Fountain, The (2006)",Drama|Fantasy|Romance
2104,13 Going on 30 (2004),Comedy|Fantasy|Romance
768,"Devil's Own, The (1997)",Action|Drama|Thriller
551,"People vs. Larry Flynt, The (1996)",Comedy|Drama
874,"Spanish Prisoner, The (1997)",Crime|Drama|Mystery|Thriller
930,Labyrinth (1986),Adventure|Fantasy|Musical
1202,Wing Commander (1999),Action|Sci-Fi
1105,"Big Chill, The (1983)",Comedy|Drama
1301,"Pelican Brief, The (1993)",Crime|Drama|Mystery|Romance|Thriller
124,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
2285,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller
791,Cop Land (1997),Action|Crime|Drama|Thriller
1961,Gangs of New York (2002),Crime|Drama
363,Barbarella (1968),Adventure|Comedy|Sci-Fi
364,Some Folks Call It a Sling Blade (1993),Drama|Thriller
1873,Collateral Damage (2002),Action|Thriller
439,"Apartment, The (1960)",Comedy|Drama|Romance
26,Persuasion (1995),Drama|Romance
118,Showgirls (1995),Drama
1270,Spartacus (1960),Action|Drama|Romance|War
2320,Live Free or Die Hard (2007),Action|Adventure|Crime|Thriller
222,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
2121,Escape from Alcatraz (1979),Drama|Thriller
782,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller
939,Child's Play (1988),Horror|Thriller
1073,"Player, The (1992)",Comedy|Crime|Drama
1997,Laputa: Castle in the Sky (TenkÃ» no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi
701,Cat People (1982),Drama|Fantasy|Horror
861,Blues Brothers 2000 (1998),Action|Comedy|Musical
2208,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance
102,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
313,Blade Runner (1982),Action|Sci-Fi|Thriller
1244,"Red Violin, The (Violon rouge, Le) (1998)",Drama|Mystery
2165,Bridget Jones: The Edge of Reason (2004),Comedy|Drama|Romance
2226,Corpse Bride (2005),Animation|Comedy|Fantasy|Musical|Romance
2040,School of Rock (2003),Comedy|Musical
1143,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
593,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
2166,Finding Neverland (2004),Drama
1340,High Plains Drifter (1973),Western
1566,"Flintstones in Viva Rock Vegas, The (2000)",Children|Comedy
770,Grosse Pointe Blank (1997),Comedy|Crime|Romance
