movieId,userId,rating
1775,3,0.5
553,55,4.0
1293,310,4.0
886,27,5.0
949,60,4.0
923,28,4.0
513,57,4.5
904,795,3.5
666,605,5.0
2000,396,4.0
1243,846,2.5
1571,594,4.0
2326,775,3.0
2355,741,3.5
2447,45,3.0
820,208,4.0
2259,52,2.0
1588,251,5.0
901,666,3.0
1538,438,3.0
340,787,2.0
796,333,3.5
1650,735,4.0
2370,499,1.0
51,660,1.0
2230,250,4.0
2066,282,3.5
1383,123,4.0
43,276,3.0
694,763,3.0
728,475,4.0
2204,316,4.0
1257,307,1.5
189,364,5.0
2156,392,3.0
163,112,4.5
940,325,3.0
162,478,4.0
60,53,4.0
2300,328,4.5
2446,749,4.5
68,824,3.0
122,422,5.0
1285,755,4.0
1117,289,2.0
1737,536,4.5
119,106,3.0
2007,759,4.0
640,435,3.0
322,296,2.5
912,190,4.0
1754,444,2.5
1143,151,4.0
1849,448,3.0
2426,850,4.0
2092,64,3.0
1859,190,4.0
2292,745,4.5
168,705,4.5
1748,227,4.5
611,169,5.0
2364,539,4.5
620,282,4.0
1798,744,3.5
1355,41,5.0
2440,256,3.5
1946,30,1.5
2190,479,4.0
1184,343,4.0
976,297,4.0
1859,367,4.0
2090,155,4.5
2107,775,1.5
1586,402,4.0
438,807,4.0
314,229,3.5
1679,303,2.0
784,206,3.5
157,679,2.5
2118,322,3.5
600,634,4.5
1230,724,5.0
2450,858,2.0
1135,414,4.0
1113,649,3.0
2169,724,0.5
786,335,3.5
334,206,3.5
1355,516,3.5
2352,141,4.0
2151,798,3.0
1683,198,4.0
636,647,4.0
2144,14,3.5
1743,374,4.5
1109,345,4.0
1959,558,4.0
2226,523,3.5
1955,423,3.5
1694,412,3.0
1113,548,1.0
1231,793,0.5
824,142,3.0
2198,642,3.0
160,43,2.5
1544,488,4.0
1043,700,3.5
2352,793,3.0
2170,804,4.0
268,702,3.5
1098,266,3.0
649,591,3.0
268,433,4.0
2457,522,2.5
2336,824,4.0
2262,111,5.0
1641,449,2.5
2034,11,4.0
2200,847,4.0
2172,448,3.0
392,543,0.5
58,660,2.5
525,3,4.0
1211,276,2.5
42,738,2.5
237,435,2.5
2364,761,5.0
1980,137,3.5
276,468,5.0
629,87,4.0
983,84,3.0
1336,26,1.5
2001,560,3.0
1336,620,2.0
851,373,4.5
799,825,5.0
1737,412,3.5
2136,373,3.5
114,660,4.0
1045,53,4.0
2265,825,3.5
2375,189,4.5
2286,168,4.0
1835,404,2.0
893,348,3.0
339,111,4.0
38,49,4.5
388,115,2.0
2423,212,5.0
987,756,3.5
600,420,4.0
187,301,4.0
1933,353,4.5
1848,303,5.0
718,628,3.0
1239,301,3.0
279,782,2.5
536,285,3.5
163,468,4.5
672,382,5.0
937,633,4.5
1157,448,1.5
713,589,3.5
1600,464,4.0
2461,458,4.5
489,151,3.0
1683,528,3.5
916,129,3.0
2044,54,3.0
661,498,4.0
391,444,3.5
