movieId,userId,tag
2193,370,Universal
1333,435,Kimberly Peirce
2265,670,Paris
1313,548,nudity (topless)
2313,764,romance
1955,847,Amazing Cinematography
2360,435,Martin McDonagh
1821,545,Kate Beckinsale
650,821,bleak
1959,258,atmospheric
2476,571,original
2302,815,macho
1060,435,Cameron Crowe
1942,54,INNOCENCE LOST
2474,133,dark comedy
1076,141,Loni Anderson
1832,399,surreal
2478,370,mental illness
2285,9,world war II
2321,821,John Turturro
2155,424,clever
2384,320,Own It
792,435,Paul W.S. Anderson
568,303,nostalgic
604,11,Shakespearean
972,580,Kevin Spacey
48,548,inspirational
1666,815,childhood
2234,249,plot twists
0,111,Tim Allen
513,370,action packed
2007,88,sci-fi
145,43,Debra Winger
447,212,movie to see
581,370,Detroit
209,163,Tommy Lee Jones
516,127,music
308,548,multiple storylines
1787,176,nostalgic
182,279,Three Colors trilogy
1963,54,gritty
17,64,Jim Carrey
2012,314,romance
2348,815,girl
2327,548,friendship
332,89,dystopia
2160,52,serial killer
2152,670,black comedy
77,676,masterpiece
2337,815,author:Dennis Lehane
1380,815,memasa's movies
2418,815,predictable
77,164,neo-noir
2188,815,COLONIALISM
1001,7,Favorites
2472,548,long
2486,561,Leonardo DiCaprio
2399,88,feel-good
2101,370,cynical
1687,787,reviewed
1955,414,revolution
334,801,Tim Burton
2127,814,Vin Diesel
2053,548,Oscar (Best Sound Editing)
587,750,kafkaesque
2479,370,crime boss
2132,689,Seen 2008
1234,548,mad scientist
2394,9,culture clash
601,211,heroine
2075,122,based on a book
893,761,70mm
1094,548,imdb top 250
2250,793,dark
786,290,Will Smith
29,775,time travel
434,176,Atmospheric
529,680,Monty Python
2286,54,visceral
1477,824,Bibliothek
2151,423,Spanish
1045,11,murder
770,653,John Cusack
1025,484,rats
2455,414,quirky
2250,649,comic book
1904,435,Oliver Parker
1935,825,R
1832,548,mental illness
89,208,space
773,297,silly fun
606,676,suspenseful
2302,815,offensive
1801,123,Mark Wahlberg
1078,825,Gene Wilder
1060,815,graduation
